(7387,51791)
(7615,51819)
(8316,51938)
(8564,51999)
(12136,52600)
(12861,52760)
(12920,52778)
(13502,52948)
(14673,53155)
(15004,53200)
(15063,53206)
(16222,53531)
(16309,53550)
(16340,53552)
(17216,53701)
(17662,53782)
(2279,54169)
(1793,54517)
(4219,54920)
(5579,55195)
(7202,55527)
(7322,55566)
(8071,55674)
(9113,55842)
(9380,55898)
(10120,56044)
(11353,56219)
(12503,56429)
(12585,56430)
(12652,56458)
(13291,56610)
(13316,56623)
(13702,56729)
(15745,57173)
(15855,57198)
(16043,57217)
(16120,57237)
(18113,57542)
(18948,57674)
(19577,57784)
(19739,57821)
(19865,57851)
(980,58041)
(1798,58209)
(4812,58745)
(5210,58797)
(6212,59013)
(6509,59051)
(6733,59094)
(9837,59626)
(10672,59768)
(11910,59949)
(12682,60097)
(13313,60241)
(13575,60334)
(14166,60431)
(15194,60572)
(15337,60611)
(15405,60647)
(17082,60977)
(17117,60981)
(19752,61393)
(924,61570)
(2429,61894)
(2714,61915)
(3451,62045)
(4233,62161)
(4678,62256)
(4885,62301)
(5769,62465)
(6002,62500)
(6068,62501)
(6512,62585)
(7103,62686)
(10176,63214)
(11314,63368)
(12923,63660)
(13268,63740)
(13563,63821)
(14300,63943)
(15708,64246)
(16082,64298)
(16474,64376)
(17259,64475)
(17498,64513)
(18233,64606)
(19053,64747)
(19490,64800)
(756,65010)
(983,65051)
(1151,65077)
(1193,65094)
(2355,65311)
(2419,65329)
(2484,65332)
(6534,65988)
(6653,65999)
(7009,66053)
(7285,66131)
(7570,66166)
(8104,66251)
(8925,66382)
(9715,66514)
(10828,66676)
(11669,66812)
(14127,67269)
(14801,67360)
(14829,67363)
(15091,67401)
(15618,67558)
(17606,67865)
(18558,67989)
(143,68227)
(338,68273)
(1085,68376)
(1974,68528)
(3074,68698)
(4856,69000)
(7089,69357)
(9109,69666)
(9124,69674)
(10082,69835)
(11522,70031)
(11729,70070)
(12666,70220)
(14403,70557)
(15269,70665)
(15325,70680)
(15451,70733)
(15655,70800)
(16204,70880)
(16638,70980)
(18992,71283)
(139,71441)
(3033,71898)
(3321,71936)
(4168,72055)
(4647,72165)
(4750,72181)
(5131,72214)
(6608,72467)
(6918,72512)
(7077,72541)
(7532,72620)
(8125,72704)
(8550,72783)
(8906,72828)
(9914,72966)
(11762,73237)
(12740,73404)
(14457,73720)
(15854,73979)
(16098,74001)
(16617,74088)
(17859,74230)
(18438,74301)
(18844,74350)
(19167,74408)
(443,74594)
(2214,74874)
(4462,75212)
(6860,75573)
(7466,75673)
(7996,75742)
(8843,75861)
(9114,75889)
(9390,75935)
(9812,75997)
(10005,76011)
(10017,76024)
(12308,76350)
(13127,76473)
(15414,76874)
(16199,77014)
(16860,77115)
(18289,77276)
(18492,77309)
(176,77535)
(265,77553)
(279,77557)
(554,77586)
(1032,77648)
(1647,77751)
(3032,77958)
(5321,78295)
(5718,78361)
(5825,78397)
(6969,78530)
(9616,78891)
(12442,79280)
(12587,79295)
(14843,79685)
(14929,79695)
(15667,79863)
(17520,80094)
(18652,80220)
(19218,80300)
(19638,80348)
(528,80462)
(929,80502)
(3125,80832)
(3140,80836)
(3521,80903)
(6109,81274)
(7507,81473)
(7794,81503)
(7858,81516)
(10101,81812)
(10641,81878)
(10956,81892)
(12613,82137)
(12713,82160)
(13157,82217)
(15348,82575)
(17344,82890)
(17889,82947)
(18024,82962)
(1618,83412)
(2835,83594)
(2901,83598)
(4230,83765)
(4398,83804)
(5298,83924)
(6220,84086)
(7851,84271)
(10007,84540)
(11012,84652)
(11984,84802)
(12465,84868)
(12744,84904)
(13257,84988)
(13380,85016)
(14226,85172)
(14313,85182)
(14458,85199)
(15397,85314)
(15478,85341)
(17241,85580)
(18375,85693)
(18598,85717)
(19770,85865)
(178,85918)
(346,85940)
(1867,86135)
(2195,86181)
(4873,86541)
(6166,86726)
(6370,86762)
(8146,86953)
(9531,87135)
(10039,87195)
(10793,87278)
(11105,87299)
(11942,87409)
(12287,87469)
(12393,87486)
(13323,87612)
(13394,87634)
(15364,87897)
(15462,87923)
(1056,88573)
(1063,88578)
(1354,88627)
(3324,88877)
(3359,88886)
(3831,88950)
(4216,88990)
(7143,89391)
(9687,89698)
(11595,89908)
(11602,89910)
(13325,90130)
(13374,90136)
(14171,90286)
(14609,90308)
(15074,90347)
(15640,90469)
(15693,90473)
(16258,90535)
(16636,90606)
(17860,90720)
(19013,90840)
(19853,90936)
(59,90960)
(2168,91205)
(2323,91236)
(2656,91272)
(2798,91283)
(3611,91371)
(4564,91494)
(5622,91629)
(5809,91678)
(7922,91902)
(9012,92035)
(11433,92304)
(12911,92471)
(13387,92550)
(13671,92610)
(14429,92701)
(15086,92746)
(16437,92953)
(16465,92961)
(17169,93019)
(17647,93075)
(18442,93140)
(1428,93463)
(2347,93595)
(4036,93755)
(4110,93758)
(5475,93938)
(5552,93957)
(7057,94133)
(7402,94190)
(8242,94249)
(8390,94264)
(9178,94373)
(9242,94392)
(9515,94416)
(10097,94472)
(12170,94689)
(12795,94760)
(13001,94779)
(13764,94905)
(13851,94917)
(13909,94926)
(14695,94992)
(15356,95057)
(16259,95189)
(17526,95316)
(18981,95437)
(19591,95507)
(19833,95537)
(160,95570)
(941,95634)
(1664,95727)
(2081,95789)
(2258,95819)
(2754,95856)
(3692,95942)
(4997,96086)
(5019,96088)
(5296,96121)
(5301,96124)
(5522,96148)
(6200,96251)
(7028,96326)
(8473,96467)
(10088,96637)
(11337,96762)
(11875,96816)
(12458,96882)
(12940,96930)
(13363,96988)
(15248,97177)
(15301,97182)
(16596,97359)
(16605,97363)
(16610,97366)
(18350,97497)
(19656,97631)
(74,97674)
(566,97703)
(3014,97950)
(3207,97965)
(4771,98158)
(5537,98216)
(5615,98219)
(6191,98301)
(6198,98302)
(6325,98315)
(6634,98330)
(6691,98340)
(6887,98356)
(7023,98365)
(7108,98370)
(7248,98398)
(9742,98647)
(9976,98648)
(10255,98676)
(11451,98795)
(11583,98811)
(12208,98865)
(13504,99017)
(13729,99051)
(14022,99085)
(15464,99207)
(16385,99320)
(18167,99452)
(18982,99532)
(19296,99563)
(19549,99577)
(19594,99588)
(802,99675)
(976,99694)
(1294,99734)
(2560,99884)
(4165,99999)
(4560,100060)
(5790,100188)
(7184,100282)
(7303,100307)
(7661,100317)
(8682,100430)
(9095,100463)
(10989,100614)
(11381,100668)
(12220,100735)
(12295,100741)
(13188,100812)
(13224,100830)
(13549,100877)
(14149,100936)
(15128,101000)
(16455,101167)
(16483,101170)
(16902,101187)
(17052,101199)
(18354,101293)
(604,101466)
(1206,101520)
(1310,101531)
(1499,101560)
(1676,101561)
(1785,101584)
(2256,101639)
(3312,101703)
(3373,101712)
(3586,101735)
(3745,101749)
(3989,101765)
(4380,101800)
(5174,101875)
(5731,101931)
(5949,101956)
(6324,101988)
(7142,102031)
(8045,102100)
(8515,102155)
(9068,102193)
(9276,102225)
(10003,102263)
(10499,102321)
(10554,102325)
(11355,102384)
(12914,102506)
(13252,102538)
(13300,102547)
(13651,102589)
(15549,102756)
(15907,102808)
(17574,102922)
(18416,102965)
(1408,103192)
(3269,103337)
(3717,103376)
(4524,103441)
(4706,103476)
(5093,103483)
(6250,103589)
(7211,103634)
(7377,103650)
(8518,103745)
(9195,103787)
(9411,103807)
(9504,103809)
(10221,103850)
(10338,103864)
(11220,103939)
(11720,103969)
(12306,104010)
(13569,104124)
(14963,104215)
(15345,104241)
(15569,104289)
(15792,104319)
(16634,104379)
(17045,104399)
(688,104655)
(1996,104763)
(2222,104783)
(2223,104788)
(3520,104872)
(4552,104941)
(4684,104961)
(5186,104977)
(5696,105015)
(6498,105080)
(6655,105084)
(8634,105218)
(8811,105229)
(8845,105232)
(9601,105266)
(10320,105311)
(11071,105349)
(11616,105399)
(12008,105427)
(13430,105537)
(13455,105542)
(15444,105686)
(16240,105771)
(17457,105845)
(18487,105893)
(19848,106005)
(643,106051)
(1728,106130)
(1879,106141)
(4427,106309)
(5271,106348)
(6386,106429)
(7782,106487)
(8738,106560)
(9240,106587)
(12627,106765)
(15096,106948)
(15597,107008)
(15700,107014)
(16421,107073)
(16913,107088)
(17178,107093)
(17444,107123)
(17567,107125)
(18864,107193)
(19720,107264)
(19923,107284)
(1760,107392)
(1967,107406)
(2383,107436)
(2743,107455)
(4243,107531)
(4336,107538)
(4348,107541)
(4780,107575)
(5625,107607)
(6856,107676)
(7952,107729)
(8005,107733)
(8433,107760)
(10492,107869)
(11123,107895)
(11125,107898)
(11977,107942)
(13402,108040)
(13917,108084)
(15424,108179)
(17279,108284)
(17665,108300)
(17730,108302)
(18872,108361)
(19561,108417)
(19723,108424)
(19893,108432)
(228,108443)
(1159,108484)
(1684,108528)
(2326,108563)
(2392,108566)
(3851,108633)
(4385,108662)
(4563,108663)
(5329,108691)
(5738,108726)
(6152,108753)
(7109,108778)
(7250,108788)
(7255,108791)
(8436,108845)
(9130,108873)
(9659,108891)
(9666,108893)
(10016,108907)
(10350,108927)
(12675,109041)
(13841,109131)
(15455,109230)
(15481,109232)
(15488,109236)
(15637,109250)
(15744,109260)
(16073,109283)
(17303,109323)
(18219,109351)
(18674,109376)
(316,109467)
(762,109473)
(1459,109521)
(2194,109553)
(3519,109609)
(5349,109673)
(5727,109690)
(6147,109720)
(7239,109744)
(7809,109762)
(7928,109767)
(10035,109845)
(10606,109870)
(11644,109920)
(11957,109928)
(12724,109974)
(14078,110063)
(14151,110065)
(15529,110142)
(18638,110245)
(19059,110274)
(19871,110315)
(945,110343)
(1209,110367)
(1285,110370)
(1432,110373)
(3248,110437)
(3513,110454)
(4317,110482)
(5144,110505)
(5737,110528)
(7690,110571)
(8251,110591)
(8422,110605)
(10455,110671)
(10692,110676)
(11115,110691)
(11574,110716)
(12248,110738)
(13109,110775)
(13213,110790)
(14432,110864)
(15819,110929)
(15821,110931)
(16206,110942)
(17335,110975)
(17354,110980)
(19089,111040)
(483,111093)
(1466,111119)
(1470,111122)
(2054,111136)
(2546,111156)
(3023,111170)
(3305,111175)
(4617,111222)
(5226,111231)
(5746,111248)
(5925,111251)
(5973,111256)
(6997,111279)
(7775,111287)
(10389,111365)
(11179,111381)
(12631,111425)
(12872,111439)
(13216,111458)
(13255,111462)
(13470,111472)
(13571,111480)
(13707,111484)
(13904,111494)
(13941,111501)
(14357,111516)
(14645,111517)
(14860,111528)
(15062,111529)
(15518,111559)
(15740,111564)
(16347,111575)
(16393,111582)
(16665,111583)
(17181,111593)
(17929,111603)
(18523,111622)
(18838,111627)
(18960,111641)
(19291,111658)
(204,111687)
(896,111693)
(1122,111701)
(1169,111704)
(3020,111744)
(4701,111791)
(6181,111813)
(8412,111839)
(8496,111848)
(9137,111864)
(9723,111882)
(11170,111905)
(11944,111916)
(12326,111932)
(12699,111940)
(13034,111950)
(13199,111960)
(13429,111965)
(13920,111976)
(14162,111981)
(15303,112008)
(15864,112019)
(18255,112052)
(18850,112055)
(2238,112131)
(2400,112134)
(3329,112143)
(3601,112149)
(3975,112157)
(4172,112159)
(4225,112164)
(4576,112172)
(5448,112173)
(5512,112174)
(6140,112181)
(6705,112184)
(7723,112190)
(8081,112192)
(9667,112232)
(11095,112248)
(11458,112250)
(12023,112268)
(12593,112271)
(13537,112283)
(14734,112303)
(18016,112347)
(19213,112363)
(19214,112367)
(19942,112390)
(948,112396)
(1192,112397)
(2059,112412)
(2808,112413)
(3829,112421)
(4383,112423)
(5716,112427)
(6773,112431)
(8297,112434)
(8865,112454)
(9250,112464)
(10211,112465)
(10993,112474)
(11979,112480)
(12719,112490)
(13166,112495)
(14235,112504)
(14648,112509)
(15222,112510)
(15376,112519)
(15378,112524)
(16364,112531)
(16776,112533)
(17809,112538)
(19332,112554)
(19419,112559)
(19559,112563)
(19662,112568)
(294,112570)
(1761,112571)
(1960,112575)
(3401,112579)
(8482,112581)
(8499,112582)
(8784,112585)
(9216,112587)
(10303,112589)
(11477,112593)
(12011,112595)
(13820,112599)
(15241,112600)
(16005,112603)
(18222,112604)
(18932,112608)
(18988,112612)
(0,0,0)
(0,0,0)

(10531,12,50)
(10531,212882)
(15665,9950,13500)
(18067,9950,14000)
(15665,9950,13500)
(18067,9955,14000)
(2495,9960,14000)
(15665,340495)
(2495,341495)
(18067,341500)
(19249,30000,47000)
(16564,573495)
(19249,583500)
(4083,647550)
(4441,674550)
(1533,2000,4000)
(5489,2005,3500)
(14345,2010,2500)
(17421,2015,3500)
(14345,2020,2500),(7496,2020,3700)
(14345,912495)
(5489,916490)
(17421,916500)
(7496,916900)
(1533,917200)
